SN,Date,Reference,Narration,Debit,Credit,Balance
"1","2021-03-20 12:13","23881817923","Funding of wallet (5318828307) with the sum of N100","0","100","100"
"2","2021-03-20 12:13","23884375563","Funding of wallet (7811940329) with the sum of N100","100","0","0"
"3","2021-03-23 11:00","16493600734","R-92610000000000000/null null","0","200","200"
"4","2021-03-23 11:00","16493600734","R-92610000000000000/null null","220","0","-220"
"5","2021-03-23 11:00","16493600840","R-82380000000000000/null null","0","108","-112"
"6","2021-03-23 11:00","16493600840","R-82380000000000000/null null","128","0","-128"
"7","2021-03-23 11:00","16493600863","R-82360000000000000/null null","0","200","88"
"8","2021-03-23 11:00","16493600863","R-82360000000000000/null null","220","0","-348"
"9","2021-03-23 11:00","16493600872","R-9100000180/null null","0","60.75","260.75"
"10","2021-03-23 11:00","16493600872","R-9100000180/null null","60.75","0","27.25"
"11","2021-03-23 11:00","16493600905","R-9100000017/null null","0","108","108"
"12","2021-03-23 11:00","16493600905","R-9100000017/null null","158","0","-130.75"
"13","2021-03-23 11:00","16493600912","R-9100000016/null null","1050","0","-1180.75"
"14","2021-03-23 11:00","16493600920","R-8100000015/null null","0","108","-1072.75"
"15","2021-03-23 11:00","16493600920","R-8100000015/null null","158","0","102.75"
"16","2021-03-23 11:00","16493600926","R-8100000014/null null","0","1000","-72.75"
"17","2021-03-23 11:00","16493600926","R-8100000014/null null","1050","0","-947.25"
"18","2021-03-23 11:00","16493600934","R-92640000000000000/null null","0","108","216"
"19","2021-03-23 11:00","16493600934","R-92640000000000000/null null","128","0","-200.75"
"20","2021-03-23 11:00","16493600940","R-9100000534/null null","0","108","324"
"21","2021-03-23 11:00","16493600940","R-9100000534/null null","128","0","-328.75"
"22","2021-03-23 11:00","16493600968","R-9100000533/null null","0","50","-897.25"
"23","2021-03-23 11:00","16493600968","R-9100000533/null null","70","0","-398.75"
"24","2021-03-23 11:00","16493601048","R-8100000169/null null","0","14000000","13999601.25"
"25","2021-03-23 11:00","16493601048","R-8100000169/null null","14000050","0","-14000947.25"
"26","2021-03-23 11:00","16493601076","R-9100000181/null null","0","108","432"
"27","2021-03-23 11:00","16493601076","R-9100000181/null null","108","0","13999493.25"
"28","2021-03-23 11:00","16493601113","R-8100000170/null null","0","108","13999601.25"
"29","2021-03-23 11:00","16493601113","R-8100000170/null null","158","0","-14001105.25"
"30","2021-03-23 11:00","16493601193","R-9100000328/null null","30100","0","13969501.25"
"31","2021-03-23 11:00","16493601247","R-9100000320/null null","30200","0","13939301.25"
"32","2021-03-23 11:00","16493601270","R-8100000461/null null","0","108","13939409.25"
"33","2021-03-23 11:00","16493601270","R-8100000461/null null","108","0","-108"
"34","2021-03-23 11:00","16493601287","R-8100000358/null null","0","30100","13969509.25"
"35","2021-03-23 11:00","16493601287","R-8100000358/null null","30100","0","-30208"
"36","2021-03-23 11:00","16493601306","R-8100000426/null null","0","30100","13999609.25"
"37","2021-03-23 11:00","16493601306","R-8100000426/null null","30100","0","-60308"
"38","2021-03-23 11:00","16493601340","R-9100000155/null null","0","100","100"
"39","2021-03-23 11:00","16493601340","R-9100000155/null null","150","0","13999459.25"
"40","2021-03-23 11:00","16493601358","R-9100000261/null null","30100","0","13969359.25"
"41","2021-03-23 11:00","16493601388","R-8100000006/null null","0","250","13969609.25"
"42","2021-03-23 11:00","16493601388","R-8100000006/null null","300","0","-14001405.25"
"43","2021-03-23 11:00","16493601397","R-8100000054/null null","0","2000","13971609.25"
"44","2021-03-23 11:00","16493601397","R-8100000054/null null","2050","0","-14003455.25"
"45","2021-03-23 11:00","16493601407","R-9100000026/null null","150","0","13971459.25"
"46","2021-03-23 11:00","16493601432","R-9100000129/null null","0","1010.75","-14002444.5"
"47","2021-03-23 11:00","16493601432","R-9100000129/null null","1010.75","0","13970448.5"
"48","2021-03-23 11:00","16493601448","R-8100000209/null null","0","500","13970948.5"
"49","2021-03-23 11:00","16493601448","R-8100000209/null null","550","0","-14002994.5"
"50","2021-03-23 11:00","16493601474","R-98280000000000000/null null","0","500","600"
"51","2021-03-23 11:00","16493601474","R-98280000000000000/null null","550","0","13970398.5"
"52","2021-03-23 11:00","16493601481","R-8100000110/null null","0","100","13970498.5"
"53","2021-03-23 11:00","16493601481","R-8100000110/null null","100","0","-14003094.5"
"54","2021-03-23 11:00","16493601490","R-8100000121/null null","0","100","13970598.5"
"55","2021-03-23 11:00","16493601490","R-8100000121/null null","100","0","-14003194.5"
"56","2021-03-23 11:00","16493601550","R-8100000000/null null","0","100","13970698.5"
"57","2021-03-23 11:00","16493601550","R-8100000000/null null","150","0","-14003344.5"
"58","2021-03-23 11:00","16493601588","R-9100000232/null null","0","108","540"
"59","2021-03-23 11:00","16493601588","R-9100000232/null null","158","0","13970540.5"
"60","2021-03-23 11:00","16493601611","R-83650000000000000/null null","0","500","13971040.5"
"61","2021-03-23 11:00","16493601611","R-83650000000000000/null null","550","0","-14003894.5"
"62","2021-03-23 11:00","16493601617","R-8100000422/null null","0","30100","14001140.5"
"63","2021-03-23 11:00","16493601617","R-8100000422/null null","30100","0","-90408"
"64","2021-03-23 11:00","16493601623","R-8100000390/null null","0","30100","14031240.5"
"65","2021-03-23 11:00","16493601623","R-8100000390/null null","30100","0","-120508"
"66","2021-03-23 11:00","16493601630","R-8100000406/null null","0","30100","14061340.5"
"67","2021-03-23 11:00","16493601630","R-8100000406/null null","30100","0","-150608"
"68","2021-03-23 11:00","16493601644","R-9100000336/null null","30100","0","14031240.5"
"69","2021-03-23 11:00","16493601664","R-8100000528/null null","0","108","14031348.5"
"70","2021-03-23 11:00","16493601664","R-8100000528/null null","108","0","-150716"
"71","2021-03-23 11:00","16493601676","R-8100000378/null null","0","30100","14061448.5"
"72","2021-03-23 11:00","16493601676","R-8100000378/null null","30100","0","-180816"
"73","2021-03-23 11:00","16493601688","R-8100000386/null null","0","30100","14091548.5"
"74","2021-03-23 11:00","16493601688","R-8100000386/null null","30100","0","-210916"
"75","2021-03-23 11:00","16493601699","R-8100000370/null null","0","30100","14121648.5"
"76","2021-03-23 11:00","16493601699","R-8100000370/null null","30100","0","-241016"
"77","2021-03-23 11:00","16493601714","R-8100000512/null null","0","30000","14151648.5"
"78","2021-03-23 11:00","16493601714","R-8100000512/null null","30000","0","-30000"
"79","2021-03-23 11:00","16493601736","R-8100000469/null null","0","108","14151756.5"
"80","2021-03-23 11:00","16493601736","R-8100000469/null null","108","0","-241124"
"81","2021-03-23 11:00","16493601742","R-8100000399/null null","0","100","14151856.5"
"82","2021-03-23 11:00","16493601742","R-8100000399/null null","100","0","-241224"
"83","2021-03-23 11:00","16493601749","R-8100000449/null null","0","108","14151964.5"
"84","2021-03-23 11:00","16493601749","R-8100000449/null null","108","0","-241332"
"85","2021-03-23 11:00","16493601755","R-8100000457/null null","0","108","14152072.5"
"86","2021-03-23 11:00","16493601755","R-8100000457/null null","108","0","-241440"
"87","2021-03-23 11:00","16493601760","R-8100000414/null null","0","30100","14182172.5"
"88","2021-03-23 11:00","16493601760","R-8100000414/null null","30100","0","-271540"
"89","2021-03-23 11:00","16493601767","R-9100000424/null null","30100","0","14152072.5"
"90","2021-03-23 11:00","16493601797","R-8100000423/null null","0","100","14152172.5"
"91","2021-03-23 11:00","16493601797","R-8100000423/null null","100","0","-271640"
"92","2021-03-23 11:00","16493601820","R-9100000405/null null","0","100","640"
"93","2021-03-23 11:00","16493601820","R-9100000405/null null","100","0","14152072.5"
"94","2021-03-23 11:00","16493601845","R-9100000404/null null","30100","0","14121972.5"
"95","2021-03-23 11:00","16493601875","R-8100000403/null null","0","100","14122072.5"
"96","2021-03-23 11:00","16493601875","R-8100000403/null null","100","0","-271740"
